01b8000	01b8001	01b8002	01b8000 (24-bit)	
18	03	09	090318	Toran Castle Level 2 - Tai Ho's Shack
18	07	01	010718	Toran Castle Level 2 - Ground-1F Stairs
18	07	09	090718	Toran Castle Level 2 - Ground-1F Stairs
18	08	09	090818	Toran Castle Level 2 - Ground Floor - Elevator
19	00	01	010019	Toran Castle Level 2 - 1F
19	00	09	090019	Toran Castle Level 2 - 1F
19	01	01	010119	Toran Castle Level 2 - 1F - Outside Entrance
19	01	09	090119	Toran Castle Level 2 - 1F - Outside Entrance
19	02	01	010219	Toran Castle Level 2 - 1F - Bridge to East Wing
19	02	09	090219	Toran Castle Level 2 - 1F - Bridge to East Wing
19	03	01	010319	Toran Castle Level 2 - 1F - Bridge to West Wing
19	03	09	090319	Toran Castle Level 2 - 1F - Bridge to West Wing
19	04	01	010419	Toran Castle Level 2 - 
19	04	09	090419	Toran Castle Level 2 - 
19	05	01	010519	Toran Castle Level 2 - 
19	05	09	090519	Toran Castle Level 2 - 1F - Elevator
19	06	01	010619	Toran Castle Level 2 - 1F-2F Stairs
19	06	09	090619	Toran Castle Level 2 - 1F-2F Stairs
19	07	01	010719	Toran Castle Level 2 - 1F-Ground Stairs
19	07	09	090719	Toran Castle Level 2 - 1F-Ground Stairs
1a	00	01	01001a	Toran Castle Level 2 - 2F
1a	00	09	09001a	Toran Castle Level 2 - 2F
1a	01	01	01011a	Toran Castle Level 2 - 2F - Outside (East)
1a	01	09	09011a	Toran Castle Level 2 - 2F - Outside (East)
1a	02	09	09021a	Toran Castle Level 2 - 2F - Elevator
1a	03	01	01031a	Toran Castle Level 2 - 2F-1F Stairs
1a	03	09	09031a	Toran Castle Level 2 - 2F-1F Stairs
1a	04	01	01041a	Toran Castle Level 2 - 2F-3F Stairs
1a	04	09	09041a	Toran Castle Level 2 - 2F-3F Stairs
1a	05	01	01051a	Toran Castle Cutscene
1b	00	01	01001b	Toran Castle Level 2 - 3F
1b	00	09	09001b	Toran Castle Level 2 - 3F
1b	01	09	09011b	Toran Castle Level 2 - 3F - Elevator
1b	02	01	01021b	Toran Castle Level 2 - 3F-2F Stairs
1b	02	09	09021b	Toran Castle Level 2 - 3F-2F Stairs
1b	03	01	01031b	Toran Castle Level 2 - 3F-4F Stairs
1b	03	09	09031b	Toran Castle Level 2 - 3F-4F Stairs
1c	00	01	01001c	Toran Castle Level 2 - 4F
1c	00	09	09001c	Toran Castle Level 2 - 4F
1c	01	01	01011c	Toran Castle Level 2 - 4F - Walkway
1c	01	09	09011c	Toran Castle Level 2 - 4F - Walkway
1c	02	01	01021c	Toran Castle Level 2 - 4F-3F Stairs
1c	02	09	09021c	Toran Castle Level 2 - 4F-3F Stairs
1c	03	01	01031c	Toran Castle Level 2 - 4F - Tir's Room
1c	03	09	09031c	Toran Castle Level 2 - 4F - Tir's Room
1c	04	09	09041c	Toran Castle Level 2 - 4F - Elevator
1d	00	01	01001d	Toran Castle Level 2 - 1F - West Wing - Bridge to Main
1d	00	09	09001d	Toran Castle Level 2 - 1F - West Wing - Bridge to Main
1d	01	01	01011d	Toran Castle Level 2 - 1F - West Wing (Outside)
1d	01	09	09011d	Toran Castle Level 2 - 1F - West Wing (Outside)
1d	02	01	01021d	Toran Castle Level 2 - 1F - West Wing
1d	02	09	09021d	Toran Castle Level 2 - 1F - West Wing
1d	03	01	01031d	Toran Castle Level 2 - 2F - West Wing
1d	03	09	09031d	Toran Castle Level 2 - 2F - West Wing
1e	00	01	01001e	Toran Castle Level 2 - 1F - East Wing - Bridge to Main
1e	00	09	09001e	Toran Castle Level 2 - 1F - East Wing - Bridge to Main
1e	01	01	01011e	Toran Castle Level 2 - 1F - East Wing
1e	01	09	09011e	Toran Castle Level 2 - 1F - East Wing
1e	02	01	01021e	Toran Castle Level 2 - 2F - East Wing
1e	02	09	09021e	Toran Castle Level 2 - 2F - East Wing
20	00	09	090020	Toran Castle Level 1 - Outside
20	01	09	090120	Toran Castle Level 1 - Ground Floor
20	02	09	090220	Toran Castle Level 1 - Basement
20	03	09	090320	Toran Castle Level 1 - Tai Ho's Shack
20	07	09	090720	Toran Castle Level 1 - Ground-1F Stairs - From Ground
21	00	09	090021	Toran Castle Level 1 - 1F - Main
21	01	09	090121	Toran Castle Level 1 - 1F - Outside (West)
21	02	09	090221	Toran Castle Level 1 - 1F - Outside (East)
21	06	09	090621	Toran Castle Level 1 - 1F-2F Stairs - From 1F
21	07	09	090721	Toran Castle Level 1 - Ground-1F Stairs
22	00	09	090022	Toran Castle Level 1 - 2F
22	03	09	090322	Toran Castle Level 1 - 1F-2F Stairs
22	04	09	090422	Toran Castle Level 1 - Banquet Scene
26	01	09	090126	Toran Castle Level 1 - 1F - East Building 1F
26	02	09	090226	Toran Castle Level 1 - 1F - East Building 2F
28	00	09	090028	Toran Caslte (Pre-Lib Army) - 1F
28	02	09	090228	Toran Castle (Pre-Lib Army) - Ground-1F Stairs
29	01	01	010129	Battlefield after Teo War
2a	00	01	01002a	Pirate's Fortress - Outside (Teleport)
2a	01	01	01012a	Pirate's Fortress - Inside (Teleport)
2b	01	01	01012b	Hix and Tengaar having a fire
2c	00	09	09002c	Lake Toran - Castle Cutscene
2d	00	09	09002d	Lake Toran - Castle Cutscene
2e	00	09	09002e	Lake Toran - Castle Cutscene
30	01	09	090130	Toran Castle (Pre-Lib Army) - Ground Floor (Boss)
31	01	09	090131	Shasarazade 1
31	02	09	090231	Shasarazade 2
31	03	09	090331	Shasarazade 3
31	04	09	090431	Shasarazade 4
31	05	09	090531	Shasarazade 5
31	06	09	090631	Shasarazade 6 (Boss)
31	07	09	090731	Shasarazade 7 (Treasure)
